skills,certifications,experience_years,education_level,projects_completed,github_commits_per_year,soft_skills,expected_salary_lpa,job_role
"NLP, OpenCV, PyTorch, LangChain, Keras",None,5.1,Bachelor's,4,280,"Adaptability, Problem Solving, Teamwork",17.0,AI Engineer
"PHP, TypeScript, Angular",AWS Cloud Practitioner,7.2,Bachelor's,12,328,"Teamwork, Adaptability, Critical Thinking",6.8,Web Developer
"OpenCV, MLOps, NLP, Keras, Machine Learning, TensorFlow",AWS Machine Learning,7.1,Master's,6,237,"Attention to Detail, Teamwork, Creativity",12.3,AI Engineer
"Statistics, Excel, NumPy, SPSS, Google Analytics",AWS Data Analytics,4.8,Master's,19,239,"Problem Solving, Collaboration",13.9,Data Analyst
"MongoDB, Vue.js, REST APIs, MySQL, React",MongoDB Developer,6.1,Bachelor's,9,120,"Adaptability, Teamwork, Communication",6.7,Web Developer
"PyTorch, Deep Learning, Python, NLP, MLOps, Scikit-learn",NVIDIA Deep Learning,2.6,Bachelor's,14,234,"Leadership, Collaboration, Critical Thinking",9.3,AI Engineer
"Scikit-learn, PyTorch, Machine Learning, Keras",None,8.2,Master's,6,169,"Problem Solving, Communication",15.6,AI Engineer
"Tableau, Data Visualization, Statistics",Microsoft Power BI,2.1,Master's,7,213,"Creativity, Attention to Detail",10.0,Data Analyst
"MongoDB, PHP, React, JavaScript, Docker, HTML",None,7.9,Bachelor's,10,197,"Communication, Collaboration, Creativity",10.0,Web Developer
"TensorFlow, MLOps, Scikit-learn, LangChain, PyTorch",Microsoft Azure AI,5.0,Bachelor's,11,200,"Attention to Detail, Time Management",7.5,AI Engineer
"NLP, Keras, Python",None,4.9,PhD,11,163,"Time Management, Problem Solving, Communication",12.4,AI Engineer
"LangChain, MLOps, Deep Learning, Python, Scikit-learn, Tableau",IBM AI Engineering,5.7,Master's,8,330,"Time Management, Problem Solving, Collaboration",18.5,AI Engineer
"HTML, REST APIs, CSS, Vue.js, JavaScript",Google UX Design,5.9,Bachelor's,19,343,"Attention to Detail, Communication",15.5,Web Developer
"JavaScript, Vue.js, Docker",None,6.8,Bachelor's,11,358,"Communication, Time Management, Teamwork",9.7,Web Developer
"Data Visualization, Statistics, Google Analytics, Python",None,6.9,Master's,9,122,"Time Management, Problem Solving, Leadership",8.4,Data Analyst
"Data Visualization, Statistics, R, Pandas, SQL",IBM Data Analyst,9.1,Master's,17,162,"Teamwork, Time Management, Leadership",14.2,Data Analyst
"REST APIs, Angular, Vue.js, React, Python",Node.js Certification,6.1,PhD,12,275,"Leadership, Teamwork",10.5,Web Developer
"Hugging Face, Scikit-learn, NLP",Deep Learning Specialization,7.0,Bachelor's,15,240,"Collaboration, Teamwork",19.0,AI Engineer
"TensorFlow, MLOps, PyTorch",None,6.4,PhD,11,52,"Problem Solving, Time Management, Attention to Detail, Critical Thinking",9.8,AI Engineer
"Hugging Face, Scikit-learn, Deep Learning, Docker",None,6.7,Master's,10,166,"Communication, Time Management, Attention to Detail",14.6,AI Engineer
"Excel, Data Visualization, Power BI, Statistics, Tableau, R, TypeScript",None,2.3,Bachelor's,8,104,"Time Management, Teamwork, Communication, Creativity",10.7,Data Analyst
"Data Visualization, SQL, Google Analytics, Tableau, SPSS",Google Data Analytics,6.1,Bachelor's,8,56,"Creativity, Leadership, Attention to Detail",5.8,Data Analyst
"Keras, Machine Learning, Python",None,9.9,PhD,7,129,"Adaptability, Time Management, Leadership",14.6,AI Engineer
"R, Pandas, Google Analytics",IBM Data Analyst,7.9,Master's,11,219,"Leadership, Teamwork, Adaptability",2.5,Data Analyst
"Angular, MySQL, React",Google UX Design,1.4,Diploma,12,339,"Time Management, Creativity, Attention to Detail, Communication",9.9,Web Developer
"SQL, R, Google Analytics, Statistics, Excel",Tableau Desktop Specialist,7.5,Master's,4,203,"Communication, Problem Solving",10.2,Data Analyst
"MySQL, Vue.js, HTML",MongoDB Developer,6.3,Diploma,15,292,"Creativity, Problem Solving",11.0,Web Developer
"TensorFlow, LangChain, Scikit-learn, Pandas",Deep Learning Specialization,2.1,Bachelor's,6,333,"Critical Thinking, Communication, Problem Solving",13.7,AI Engineer
"CSS, Node.js, JavaScript",None,2.5,Bachelor's,11,310,"Teamwork, Leadership",12.3,Web Developer
"Data Visualization, Excel, SQL",Google Data Analytics,2.8,Diploma,5,77,"Problem Solving, Critical Thinking, Collaboration, Adaptability",4.3,Data Analyst
"MongoDB, React, JavaScript, Vue.js, HTML, Angular",None,5.5,Diploma,23,311,"Critical Thinking, Collaboration, Teamwork, Time Management",7.4,Web Developer
"Pandas, Google Analytics, Power BI, Data Visualization, NumPy",SAS Certified Analyst,1.7,Bachelor's,17,273,"Communication, Adaptability",12.0,Data Analyst
"MongoDB, Node.js, PHP, Vue.js",None,1.5,Master's,14,324,"Attention to Detail, Teamwork, Collaboration",9.0,Web Developer
"NumPy, Google Analytics, R, Statistics, Power BI, SPSS",AWS Data Analytics,3.1,Bachelor's,12,223,"Creativity, Collaboration",7.3,Data Analyst
"Tableau, Power BI, NumPy, Data Visualization, Google Analytics, SPSS",AWS Data Analytics,2.5,Master's,13,69,"Communication, Collaboration",3.0,Data Analyst
"CSS, MySQL, REST APIs, MongoDB",Google UX Design,6.9,Bachelor's,17,324,"Attention to Detail, Critical Thinking, Teamwork, Collaboration",12.4,Web Developer
"Machine Learning, MLOps, Scikit-learn, Hugging Face, Deep Learning, Python",None,7.1,Bachelor's,1,176,"Problem Solving, Communication, Leadership, Attention to Detail",18.7,AI Engineer
"Google Analytics, Pandas, SQL, Statistics, SPSS, Power BI, React",IBM Data Analyst,4.5,Bachelor's,11,176,"Teamwork, Communication",8.2,Data Analyst
"JavaScript, REST APIs, MySQL, Vue.js, HTML",None,4.3,Diploma,3,265,"Creativity, Communication, Teamwork, Critical Thinking",7.9,Web Developer
"Keras, Python, Deep Learning, OpenCV, MLOps",Deep Learning Specialization,7.6,Bachelor's,14,142,"Teamwork, Leadership",23.1,AI Engineer
"Vue.js, HTML, PHP, Angular, JavaScript, CSS",MongoDB Developer,2.3,Bachelor's,22,167,"Critical Thinking, Collaboration, Adaptability, Problem Solving",8.8,Web Developer
"Node.js, HTML, CSS, PHP, Vue.js, MySQL",None,4.6,Master's,10,298,"Teamwork, Critical Thinking, Creativity",13.4,Web Developer
"Statistics, Tableau, Python",IBM Data Analyst,2.3,Bachelor's,2,157,"Communication, Time Management, Leadership, Adaptability",5.7,Data Analyst
"Scikit-learn, NLP, OpenCV, LangChain",Google TensorFlow Developer,3.9,Bachelor's,12,183,"Adaptability, Creativity, Attention to Detail",19.4,AI Engineer
"Vue.js, JavaScript, Node.js, REST APIs, Angular",MongoDB Developer,4.5,PhD,15,283,"Problem Solving, Collaboration, Time Management",8.9,Web Developer
"Google Analytics, SPSS, Tableau, NumPy",Tableau Desktop Specialist,2.3,PhD,7,150,"Adaptability, Collaboration, Problem Solving, Creativity",7.6,Data Analyst
"TypeScript, Node.js, CSS, HTML",None,9.3,Master's,20,453,"Attention to Detail, Collaboration, Adaptability, Creativity",7.4,Web Developer
"Scikit-learn, Deep Learning, MLOps, PyTorch, LangChain",NVIDIA Deep Learning,6.7,Master's,11,197,"Creativity, Adaptability",10.7,AI Engineer
"SQL, NumPy, Power BI, Pandas, SPSS",SAS Certified Analyst,2.9,Diploma,10,232,"Leadership, Critical Thinking, Creativity, Problem Solving",5.3,Data Analyst
"Hugging Face, NLP, OpenCV",IBM AI Engineering,6.9,Master's,9,227,"Teamwork, Critical Thinking, Creativity, Adaptability",12.1,AI Engineer
"Node.js, JavaScript, MongoDB, Angular, REST APIs, CSS, LangChain",Google UX Design,2.7,Bachelor's,22,438,"Leadership, Teamwork, Communication, Critical Thinking",2.5,Web Developer
"OpenCV, PyTorch, Keras, Scikit-learn, Hugging Face",Deep Learning Specialization,3.2,Master's,8,213,"Creativity, Critical Thinking, Communication, Leadership",17.5,AI Engineer
"Python, Google Analytics, Data Visualization, Excel, Vue.js",SAS Certified Analyst,4.2,Bachelor's,3,162,"Teamwork, Adaptability, Creativity",6.9,Data Analyst
"Deep Learning, Hugging Face, Scikit-learn, TensorFlow, NLP, LangChain",Google TensorFlow Developer,8.2,Bachelor's,13,242,"Adaptability, Leadership, Collaboration",15.6,AI Engineer
"Python, Pandas, Excel, SPSS, Power BI",Microsoft Power BI,7.1,Master's,10,206,"Time Management, Collaboration, Adaptability, Communication",11.3,Data Analyst
"PyTorch, Python, LangChain, Keras, Deep Learning",NVIDIA Deep Learning,7.5,Master's,12,200,"Collaboration, Attention to Detail, Teamwork, Critical Thinking",14.9,AI Engineer
"CSS, JavaScript, HTML",None,3.6,Bachelor's,24,335,"Adaptability, Problem Solving, Time Management, Communication",12.9,Web Developer
"Machine Learning, PyTorch, Hugging Face, Scikit-learn",Deep Learning Specialization,4.0,Bachelor's,14,211,"Communication, Critical Thinking, Teamwork",14.2,AI Engineer
"Data Visualization, Excel, Python",Google Data Analytics,1.9,Master's,9,182,"Collaboration, Critical Thinking",3.8,Data Analyst
"SQL, Excel, Tableau, Python, R",AWS Data Analytics,2.6,Bachelor's,11,135,"Attention to Detail, Critical Thinking",7.8,Data Analyst
"Deep Learning, PyTorch, Keras, Python",AWS Machine Learning,9.4,PhD,9,267,"Creativity, Teamwork",10.3,AI Engineer
"Statistics, Google Analytics, Power BI, Pandas, NumPy",None,2.3,PhD,13,200,"Communication, Teamwork, Adaptability, Critical Thinking",12.3,Data Analyst
"Python, Data Visualization, NumPy, Google Analytics, SPSS, Excel",None,3.4,Master's,18,188,"Adaptability, Problem Solving, Communication",10.1,Data Analyst
"Hugging Face, TensorFlow, OpenCV, Scikit-learn, LangChain, Python",IBM AI Engineering,4.5,Master's,16,203,"Adaptability, Critical Thinking",15.9,AI Engineer
"TensorFlow, Machine Learning, OpenCV, Scikit-learn, Deep Learning, MLOps",Microsoft Azure AI,7.3,PhD,8,281,"Creativity, Attention to Detail, Time Management",12.7,AI Engineer
"Excel, Google Analytics, Python, Data Visualization, Pandas, SPSS",Microsoft Power BI,1.4,Master's,14,118,"Problem Solving, Time Management, Teamwork",10.9,Data Analyst
"Data Visualization, Power BI, Python, Google Analytics, Pandas, NumPy",SAS Certified Analyst,5.1,Master's,12,169,"Teamwork, Leadership, Creativity",8.9,Data Analyst
"MySQL, Docker, HTML, Angular, JavaScript, Node.js",Google UX Design,4.5,Diploma,16,189,"Attention to Detail, Creativity, Collaboration, Time Management",14.1,Web Developer
"Statistics, Python, Data Visualization, Tableau",None,5.7,Bachelor's,16,232,"Adaptability, Collaboration",8.6,Data Analyst
"Hugging Face, NLP, OpenCV",AWS Machine Learning,4.7,PhD,8,232,"Teamwork, Time Management",14.1,AI Engineer
"Tableau, SQL, Pandas, R, SPSS, Hugging Face",None,6.0,Bachelor's,15,117,"Communication, Adaptability, Leadership, Time Management",8.7,Data Analyst
"Vue.js, CSS, MySQL, REST APIs, React",Node.js Certification,4.6,Master's,16,238,"Teamwork, Attention to Detail, Critical Thinking, Problem Solving",7.2,Web Developer
"Node.js, Vue.js, MongoDB",MongoDB Developer,5.6,PhD,33,258,"Teamwork, Attention to Detail, Creativity",5.5,Web Developer
"PHP, CSS, Angular, Node.js",React Developer Certification,4.1,Bachelor's,19,357,"Communication, Attention to Detail",7.3,Web Developer
"Power BI, SPSS, Data Visualization, Python, Statistics, Pandas",Google Data Analytics,5.0,Bachelor's,8,200,"Leadership, Collaboration, Adaptability",10.4,Data Analyst
"Statistics, Python, SPSS, Tableau",SAS Certified Analyst,6.3,Bachelor's,12,214,"Attention to Detail, Leadership, Collaboration",14.3,Data Analyst
"Machine Learning, PyTorch, Deep Learning",IBM AI Engineering,1.6,Master's,11,204,"Creativity, Communication",19.0,AI Engineer
"R, NumPy, Python",IBM Data Analyst,8.8,Bachelor's,7,246,"Critical Thinking, Teamwork",15.1,Data Analyst
"Keras, Hugging Face, MLOps",Microsoft Azure AI,5.2,Bachelor's,15,122,"Leadership, Critical Thinking, Collaboration, Teamwork",10.0,AI Engineer
"Tableau, Power BI, Python",None,4.2,Master's,17,205,"Critical Thinking, Time Management, Problem Solving",8.5,Data Analyst
"REST APIs, PHP, Node.js, HTML, Vue.js, TypeScript",MongoDB Developer,3.0,Bachelor's,15,200,"Teamwork, Attention to Detail, Critical Thinking, Leadership",5.8,Web Developer
"HTML, MongoDB, Node.js, Angular, CSS, React",React Developer Certification,2.7,Master's,25,223,"Time Management, Teamwork",14.3,Web Developer
"REST APIs, MongoDB, PHP, Docker, CSS, JavaScript",React Developer Certification,4.7,Bachelor's,10,162,"Communication, Collaboration, Problem Solving",6.2,Web Developer
"Hugging Face, PyTorch, Python, OpenCV, Machine Learning, NLP",Microsoft Azure AI,4.1,Bachelor's,12,290,"Leadership, Adaptability, Creativity, Critical Thinking",21.4,AI Engineer
"Deep Learning, PyTorch, MLOps, NLP",Microsoft Azure AI,3.3,Master's,8,279,"Critical Thinking, Communication, Attention to Detail, Time Management",21.4,AI Engineer
"TensorFlow, Scikit-learn, Machine Learning, Deep Learning",IBM AI Engineering,1.9,Master's,8,196,"Attention to Detail, Leadership",16.4,AI Engineer
"CSS, React, REST APIs, Angular, Node.js, TypeScript",None,3.8,Bachelor's,17,295,"Critical Thinking, Leadership, Problem Solving, Collaboration",12.3,Web Developer
"Python, Google Analytics, Power BI",None,8.9,Bachelor's,9,119,"Leadership, Critical Thinking, Collaboration, Adaptability",10.6,Data Analyst
"CSS, Docker, TypeScript, HTML, Vue.js",Node.js Certification,9.3,Bachelor's,18,213,"Communication, Collaboration, Time Management, Creativity",13.8,Web Developer
"Deep Learning, OpenCV, NLP, PyTorch, Python, LangChain",IBM AI Engineering,3.7,Master's,17,159,"Time Management, Teamwork",16.4,AI Engineer
"JavaScript, MySQL, Node.js",Node.js Certification,9.2,Bachelor's,21,358,"Attention to Detail, Adaptability, Leadership",6.6,Web Developer
"Google Analytics, Data Visualization, Tableau, Pandas, SPSS, LangChain",Google Data Analytics,2.8,Diploma,14,241,"Creativity, Adaptability",10.7,Data Analyst
"Scikit-learn, LangChain, TensorFlow, PyTorch, MLOps, Keras",AWS Machine Learning,3.4,Bachelor's,13,279,"Collaboration, Critical Thinking, Communication, Time Management",8.3,AI Engineer
"OpenCV, TensorFlow, Machine Learning, Scikit-learn",AWS Machine Learning,8.8,Diploma,7,123,"Problem Solving, Communication, Teamwork",9.8,AI Engineer
"MySQL, Angular, Node.js, Vue.js, HTML, PHP",Meta Frontend Developer,5.9,PhD,22,221,"Problem Solving, Critical Thinking, Communication, Leadership",15.1,Web Developer
"NLP, Python, TensorFlow, Keras, OpenCV",AWS Machine Learning,4.6,Bachelor's,17,189,"Time Management, Problem Solving, Teamwork",20.6,AI Engineer
"Docker, MongoDB, Node.js, Vue.js, JavaScript, PHP",AWS Cloud Practitioner,7.7,Bachelor's,24,113,"Collaboration, Leadership, Teamwork, Attention to Detail",10.5,Web Developer
"Vue.js, JavaScript, MongoDB, Angular, CSS",Meta Frontend Developer,4.7,PhD,14,176,"Attention to Detail, Teamwork, Time Management, Critical Thinking",8.2,Web Developer
"Docker, MySQL, Node.js",Google UX Design,10.7,Bachelor's,4,261,"Communication, Attention to Detail, Teamwork, Collaboration",12.5,Web Developer
"Keras, OpenCV, Hugging Face, Deep Learning",AWS Machine Learning,5.0,Master's,11,159,"Problem Solving, Leadership",8.1,AI Engineer
"Statistics, Python, R",None,7.0,Bachelor's,7,199,"Critical Thinking, Problem Solving",6.4,Data Analyst
"SPSS, Excel, Statistics, Pandas, SQL",Google Data Analytics,4.1,Diploma,8,124,"Creativity, Time Management, Adaptability, Collaboration",5.4,Data Analyst
"Deep Learning, TensorFlow, PyTorch, MLOps, Python, Hugging Face",AWS Machine Learning,7.9,Master's,13,226,"Critical Thinking, Leadership",14.9,AI Engineer
"TensorFlow, Deep Learning, Scikit-learn, PyTorch, OpenCV",None,4.7,Bachelor's,15,153,"Critical Thinking, Collaboration, Time Management, Creativity",9.7,AI Engineer
"PHP, HTML, CSS",None,10.5,Master's,20,271,"Communication, Creativity, Leadership",5.3,Web Developer
"React, REST APIs, HTML, TypeScript, Angular, MongoDB",Node.js Certification,5.0,Bachelor's,10,145,"Leadership, Communication, Problem Solving",13.6,Web Developer
"MySQL, PHP, Docker, React",MongoDB Developer,5.3,Bachelor's,23,418,"Problem Solving, Time Management, Leadership",6.8,Web Developer
"Docker, MySQL, JavaScript, Vue.js, React",React Developer Certification,6.2,Diploma,14,285,"Time Management, Critical Thinking, Attention to Detail",12.3,Web Developer
"Python, NLP, Deep Learning",NVIDIA Deep Learning,6.5,Bachelor's,13,272,"Leadership, Teamwork, Critical Thinking",10.3,AI Engineer
"Data Visualization, Python, R, NumPy, Power BI",Google Data Analytics,7.1,Master's,19,108,"Creativity, Teamwork, Attention to Detail",11.9,Data Analyst
"Keras, Python, LangChain",AWS Machine Learning,3.1,Bachelor's,6,238,"Creativity, Attention to Detail, Collaboration, Adaptability",17.6,AI Engineer
"SPSS, R, Google Analytics, Tableau",IBM Data Analyst,8.0,Bachelor's,4,231,"Problem Solving, Teamwork, Time Management, Collaboration",9.2,Data Analyst
"NLP, Hugging Face, Machine Learning, PyTorch, OpenCV, Scikit-learn",Deep Learning Specialization,2.9,Master's,17,350,"Adaptability, Communication, Creativity, Teamwork",9.8,AI Engineer
"Excel, R, SPSS",None,10.6,Bachelor's,19,218,"Attention to Detail, Time Management",6.7,Data Analyst
"Angular, REST APIs, TypeScript, Node.js, PHP, Docker",Meta Frontend Developer,7.7,Master's,10,245,"Critical Thinking, Attention to Detail, Creativity, Adaptability",8.7,Web Developer
"Docker, React, Node.js, CSS, HTML, PHP",None,6.5,Master's,31,456,"Adaptability, Problem Solving, Communication, Creativity",9.7,Web Developer
"Machine Learning, Deep Learning, OpenCV, Keras, TensorFlow",Google TensorFlow Developer,8.2,Bachelor's,11,184,"Creativity, Time Management",13.9,AI Engineer
"Scikit-learn, NLP, Machine Learning",Deep Learning Specialization,4.3,Bachelor's,11,111,"Teamwork, Adaptability",11.0,AI Engineer
"NLP, Scikit-learn, TensorFlow, PyTorch",None,8.0,Bachelor's,4,355,"Teamwork, Adaptability, Leadership",17.2,AI Engineer
"Deep Learning, MLOps, Scikit-learn, OpenCV, Hugging Face, NLP",None,7.0,Master's,12,290,"Attention to Detail, Teamwork, Critical Thinking, Creativity",9.6,AI Engineer
"REST APIs, JavaScript, TypeScript",Node.js Certification,9.1,Diploma,18,303,"Communication, Attention to Detail, Problem Solving",8.6,Web Developer
"Python, R, Google Analytics, NumPy, Data Visualization",Google Data Analytics,7.4,Bachelor's,10,169,"Creativity, Communication, Teamwork, Time Management",14.0,Data Analyst
"HTML, MongoDB, MySQL",React Developer Certification,5.1,Master's,10,297,"Problem Solving, Collaboration, Creativity, Leadership",6.1,Web Developer
"JavaScript, REST APIs, PHP, CSS, MongoDB, TypeScript, R",MongoDB Developer,8.7,Bachelor's,26,313,"Communication, Time Management, Teamwork, Adaptability",7.4,Web Developer
"Machine Learning, MLOps, Keras, Google Analytics",Google TensorFlow Developer,10.0,Master's,11,220,"Time Management, Critical Thinking",9.3,AI Engineer
"Excel, Pandas, NumPy, R, Statistics, Python",Google Data Analytics,4.7,PhD,10,211,"Teamwork, Collaboration",12.6,Data Analyst
"Deep Learning, PyTorch, Hugging Face, LangChain",AWS Machine Learning,3.0,PhD,10,209,"Communication, Collaboration",12.7,AI Engineer
"CSS, PHP, JavaScript, MongoDB, REST APIs, Node.js",None,9.5,Master's,22,298,"Leadership, Teamwork, Time Management, Communication",7.9,Web Developer
"TypeScript, MongoDB, CSS, MySQL, HTML, REST APIs, NLP",MongoDB Developer,8.9,Diploma,15,179,"Problem Solving, Time Management, Leadership, Critical Thinking",8.5,Web Developer
"Tableau, R, Pandas, Google Analytics",Tableau Desktop Specialist,5.1,Bachelor's,16,145,"Problem Solving, Communication, Attention to Detail",12.4,Data Analyst
"Vue.js, Node.js, Angular, MongoDB, PHP",MongoDB Developer,5.3,Bachelor's,18,405,"Teamwork, Leadership, Collaboration",11.6,Web Developer
"Statistics, Power BI, NumPy, Pandas, R",AWS Data Analytics,5.9,PhD,10,133,"Adaptability, Communication, Problem Solving, Collaboration",7.6,Data Analyst
"SQL, Google Analytics, Tableau, Statistics, Data Visualization, Pandas, Scikit-learn",None,5.1,Master's,8,165,"Creativity, Teamwork, Adaptability, Leadership",8.0,Data Analyst
"MongoDB, JavaScript, HTML, CSS, MySQL",Node.js Certification,9.4,Bachelor's,18,295,"Collaboration, Time Management",8.5,Web Developer
"Machine Learning, Scikit-learn, NLP, Python",Microsoft Azure AI,5.2,Master's,18,213,"Leadership, Teamwork, Time Management, Creativity",13.7,AI Engineer
"PyTorch, Keras, Machine Learning, LangChain, TensorFlow, Deep Learning",IBM AI Engineering,7.2,Bachelor's,17,164,"Communication, Attention to Detail, Time Management, Adaptability",18.7,AI Engineer
"Python, OpenCV, LangChain, NLP, Hugging Face, Scikit-learn",None,3.8,Master's,5,155,"Critical Thinking, Communication, Time Management, Collaboration",14.8,AI Engineer
"NLP, Python, OpenCV, Machine Learning, LangChain, Hugging Face",Google TensorFlow Developer,11.1,Bachelor's,6,56,"Teamwork, Communication",16.3,AI Engineer
"Docker, HTML, Vue.js, PHP, Node.js, React",AWS Cloud Practitioner,4.4,PhD,16,353,"Teamwork, Creativity",4.4,Web Developer
"NumPy, Excel, SPSS, SQL, Pandas, Power BI",AWS Data Analytics,8.6,Master's,12,158,"Teamwork, Collaboration, Communication",9.3,Data Analyst
"Deep Learning, OpenCV, Hugging Face",AWS Machine Learning,6.1,Master's,8,301,"Leadership, Creativity, Collaboration",8.7,AI Engineer
"NLP, Hugging Face, Python",None,5.3,Master's,10,226,"Problem Solving, Attention to Detail, Time Management, Collaboration",12.8,AI Engineer
"REST APIs, Vue.js, MySQL, JavaScript, React, Docker",Meta Frontend Developer,1.7,Bachelor's,10,93,"Collaboration, Attention to Detail, Problem Solving",13.5,Web Developer
"Python, NumPy, R, Google Analytics, SPSS, SQL",Microsoft Power BI,1.8,Bachelor's,17,77,"Teamwork, Adaptability",7.3,Data Analyst
"Google Analytics, Data Visualization, NumPy, R, Pandas, Python, CSS",SAS Certified Analyst,4.2,Bachelor's,13,78,"Critical Thinking, Collaboration",10.5,Data Analyst
"React, MySQL, PHP, MongoDB, Scikit-learn",MongoDB Developer,3.9,Master's,18,280,"Collaboration, Adaptability",7.2,Web Developer
"Power BI, Google Analytics, Python",Microsoft Power BI,3.0,Bachelor's,16,233,"Communication, Problem Solving",14.2,Data Analyst
"HTML, Angular, JavaScript",None,5.9,Master's,15,326,"Attention to Detail, Leadership",6.8,Web Developer
"TensorFlow, PyTorch, Hugging Face",Deep Learning Specialization,3.3,Master's,11,153,"Communication, Critical Thinking",17.8,AI Engineer
"PyTorch, NLP, Machine Learning, Python, Deep Learning",IBM AI Engineering,8.3,PhD,12,188,"Problem Solving, Attention to Detail",17.9,AI Engineer
"MySQL, TypeScript, Docker, JavaScript, PHP",Node.js Certification,4.8,Bachelor's,21,367,"Collaboration, Communication, Critical Thinking, Teamwork",8.9,Web Developer
"Power BI, Statistics, Google Analytics, Python, SPSS, NumPy",Microsoft Power BI,9.4,Bachelor's,9,169,"Communication, Creativity, Adaptability, Critical Thinking",11.8,Data Analyst
"MongoDB, Docker, PHP, MySQL, Angular, Node.js",None,1.3,Bachelor's,21,276,"Attention to Detail, Collaboration, Teamwork",11.4,Web Developer
"CSS, Docker, REST APIs, PHP",Meta Frontend Developer,5.0,Bachelor's,15,225,"Collaboration, Problem Solving",9.8,Web Developer
"Python, Deep Learning, Hugging Face, NLP, OpenCV",None,8.0,Master's,3,321,"Leadership, Critical Thinking",14.4,AI Engineer
"Data Visualization, Power BI, Pandas, NumPy",None,6.6,Bachelor's,13,129,"Creativity, Collaboration",11.0,Data Analyst
"NLP, PyTorch, MLOps",IBM AI Engineering,4.0,Master's,16,117,"Leadership, Collaboration",14.0,AI Engineer
"LangChain, Keras, Deep Learning, NLP, Python, MLOps",Google TensorFlow Developer,9.3,Bachelor's,13,201,"Leadership, Critical Thinking, Collaboration",10.3,AI Engineer
"Power BI, Data Visualization, Excel, R, SPSS, Pandas",SAS Certified Analyst,2.1,Bachelor's,7,165,"Communication, Problem Solving, Critical Thinking",8.8,Data Analyst
"Python, Power BI, SPSS, Google Analytics, Excel, NumPy, MySQL",Google Data Analytics,3.9,Diploma,6,296,"Teamwork, Leadership, Critical Thinking",2.5,Data Analyst
"Python, Statistics, Data Visualization, Tableau, CSS",SAS Certified Analyst,5.5,Bachelor's,21,160,"Teamwork, Leadership, Critical Thinking",6.8,Data Analyst
"MLOps, Scikit-learn, Hugging Face, LangChain, Python",AWS Machine Learning,3.9,PhD,4,249,"Leadership, Critical Thinking",13.2,AI Engineer
"Data Visualization, Statistics, Tableau, Excel, SPSS, R",Google Data Analytics,3.1,Master's,7,167,"Critical Thinking, Creativity",13.2,Data Analyst
"PHP, CSS, REST APIs",Node.js Certification,4.0,Diploma,18,303,"Leadership, Adaptability, Collaboration",14.9,Web Developer
"SQL, Google Analytics, Python, Excel, Tableau, Data Visualization",None,4.7,Diploma,13,137,"Creativity, Time Management",8.3,Data Analyst
"SQL, NumPy, Excel, Tableau",SAS Certified Analyst,2.4,Master's,15,258,"Critical Thinking, Communication",11.4,Data Analyst
"Scikit-learn, Python, Keras, TensorFlow",None,6.7,Master's,10,201,"Critical Thinking, Adaptability",13.3,AI Engineer
"Excel, SQL, Statistics, SPSS",Google Data Analytics,3.7,Bachelor's,10,143,"Problem Solving, Communication",13.0,Data Analyst
"PHP, Docker, TypeScript",MongoDB Developer,5.6,Master's,10,213,"Adaptability, Collaboration",12.3,Web Developer
"Statistics, SPSS, R, Node.js",Google Data Analytics,4.0,Bachelor's,20,224,"Time Management, Creativity, Teamwork",7.3,Data Analyst
"Deep Learning, TensorFlow, MLOps, NLP",None,6.6,PhD,6,198,"Adaptability, Creativity, Teamwork, Problem Solving",10.6,AI Engineer
"Statistics, Pandas, Power BI, SPSS, SQL, Excel, PHP",Google Data Analytics,5.7,Master's,9,271,"Time Management, Critical Thinking, Problem Solving",9.2,Data Analyst
"Angular, HTML, React, Vue.js",None,6.7,Bachelor's,9,259,"Leadership, Time Management, Communication, Teamwork",14.9,Web Developer
"NLP, Machine Learning, Hugging Face, Keras, Python",Deep Learning Specialization,7.7,Master's,11,360,"Creativity, Teamwork",11.5,AI Engineer
"SPSS, Tableau, Power BI",Microsoft Power BI,2.1,Master's,11,247,"Leadership, Creativity",2.9,Data Analyst
"REST APIs, React, Docker, MongoDB",Google UX Design,5.4,Bachelor's,4,183,"Leadership, Collaboration, Problem Solving",12.1,Web Developer
"MongoDB, TypeScript, Vue.js, Docker, JavaScript, MySQL",Meta Frontend Developer,6.9,Bachelor's,29,430,"Problem Solving, Attention to Detail, Collaboration, Creativity",13.8,Web Developer
"Node.js, MySQL, Docker, MongoDB, TypeScript, REST APIs",AWS Cloud Practitioner,3.5,Master's,22,447,"Creativity, Leadership, Attention to Detail",17.0,Web Developer
"MongoDB, MySQL, Node.js, Vue.js, CSS",None,8.5,PhD,18,411,"Time Management, Adaptability, Creativity",15.7,Web Developer
"LangChain, Python, OpenCV, MLOps, Machine Learning, TypeScript",Deep Learning Specialization,5.1,PhD,5,303,"Problem Solving, Time Management, Critical Thinking",19.8,AI Engineer
"Python, TensorFlow, Hugging Face, OpenCV",None,6.8,PhD,11,354,"Leadership, Time Management",18.2,AI Engineer
"Keras, LangChain, OpenCV, Deep Learning, MLOps",AWS Machine Learning,2.6,Master's,12,97,"Time Management, Communication, Problem Solving, Leadership",13.7,AI Engineer
"CSS, Docker, MongoDB",None,5.9,Master's,22,317,"Creativity, Problem Solving",13.0,Web Developer
